a52dec 0.7.4-8
aalib 1.4rc5-11
acl 2.2.52-2
adwaita-icon-theme 3.18.0-1
alsa-firmware 1.0.29-1
alsa-lib 1.0.29-1
alsa-oss 1.0.28-1
alsa-plugins 1.0.29-2
alsa-utils 1.0.29-2
android-sdk 24.3.4-1
android-sdk-platform-tools r23.0.1-1
arch-install-scripts 15-1
archassault-keyring 20140202-3
archassault-mirrorlist 20150414-1
archlinux-keyring 20150605-1
arj 3.10.22-10
aspell 0.60.6.1-3
at 3.1.16-1
at-spi2-atk 2.18.0-1
at-spi2-core 2.18.0-1
atk 2.18.0-1
atkmm 2.24.1-1
attr 2.4.47-1
autoconf 2.69-2
autofs 5.1.1-1
automake 1.15-1
automake1.11 1.11.6-2
avahi 0.6.31-17
bash 4.3.042-3
bc 1.06.95-1
beersmith2 2.2.12-1
bind-tools 9.10.3-1
binutils 2.25.1-3
bison 3.0.4-1
blas 3.5.0-1
bluez-libs 5.35-1
boost-libs 1.58.0-3
broadcom-wl 6.30.223.248-6
bzip2 1.0.6-5
ca-certificates 20150402-1
ca-certificates-cacert 20140824-2
ca-certificates-mozilla 3.20-1
ca-certificates-utils 20150402-1
cabextract 1.6-1
cairo 1.14.2-1
cairo-perl 1.106-1
cairomm 1.12.0-1
calibre 2.40.0-1
cdparanoia 10.2-5
celt 0.11.3-2
chmlib 0.40-4
chromium 45.0.2454.101-2
chromium-pepper-flash 1:19.0.0.185-1
chrony 2.1.1-1
cifs-utils 6.4-1
clonezilla 3.10.11-5
clucene 2.3.3.4-8
cmake 3.3.2-3
coin-or-cbc 2.9.6-1
coin-or-cgl 0.59.7-1
coin-or-clp 1.16.8-1
coin-or-coinutils 2.10.10-1
coin-or-mp 1.8.3-1
coin-or-osi 0.107.6-1
colord 1.2.12-1
compositeproto 0.4.2-3
confuse 2.7-3
conky 1.10.0-5
connman 1.30-1
coreutils 8.24-1
cpio 2.12-2
cracklib 2.9.4-1
cryptsetup 1.6.7-1
curl 7.44.0-1
damageproto 1.2.1-3
davfs2 1.5.2-1
db 5.3.28-2
dbus 1.10.0-3
dbus-glib 0.104-1
dconf 0.24.0-1
ddrescue 1.20-1
deadbeef 0.6.2-4
desktop-file-utils 0.22-1
device-mapper 2.02.125-1
dhclient 4.3.3-2
dhcpcd 6.9.3-1
dialog 1:1.2_20150920-1
diffutils 3.3-2
dkms 2.2.0.3-15
dmenu 4.5.13.5ed5e90-1
dmidecode 3.0-1
dmraid 1.0.0.rc16.3-10
dmxproto 2.3.1-3
dnssec-anchors 20150403-1
docbook-xml 4.5-6
docbook-xsl 1.78.1-1
dosfstools 3.0.28-1
dotconf 1.3-4
drbl 2.11.15-1
e2fsprogs 1.42.13-1
efibootmgr 0.12-1
efivar 0.21-1
elfutils 0.163-2
enca 1.16-1
enchant 1.6.0-5
expat 2.1.0-4
f2fs-tools 1.4.1-1
faac 1.28-5
faad2 2.7-4
fakeroot 1.20.2-1
farstream 0.2.7-1
farstream-0.1 0.1.2-5
feh 2.14-1
ffmpeg 1:2.8-1
ffmpegthumbnailer 2.0.10-2
fftw 3.3.4-1
file 5.25-1
filesystem 2015.09-1
filezilla 3.14.0-1
